harness,model,variant,experiment,n_runs,tool_calls__delta,tool_calls__delta_ci,tool_calls__ratio,tool_calls__n,failed_calls__delta,failed_calls__delta_ci,failed_calls__ratio,failed_calls__n,error_recovery_calls__delta,error_recovery_calls__delta_ci,error_recovery_calls__ratio,error_recovery_calls__n,duplicate_commands__delta,duplicate_commands__delta_ci,duplicate_commands__ratio,duplicate_commands__n,repeated_reads__delta,repeated_reads__delta_ci,repeated_reads__ratio,repeated_reads__n,post_green_repeat_tests__delta,post_green_repeat_tests__delta_ci,post_green_repeat_tests__ratio,post_green_repeat_tests__n,post_success_calls__delta,post_success_calls__delta_ci,post_success_calls__ratio,post_success_calls__n,abandoned_exploration_calls__delta,abandoned_exploration_calls__delta_ci,abandoned_exploration_calls__ratio,abandoned_exploration_calls__n,tool_result_chars__delta,tool_result_chars__delta_ci,tool_result_chars__ratio,tool_result_chars__n,est_tool_result_tokens__delta,est_tool_result_tokens__delta_ci,est_tool_result_tokens__ratio,est_tool_result_tokens__n,induced_cost_lower_usd__delta,induced_cost_lower_usd__delta_ci,induced_cost_lower_usd__ratio,induced_cost_lower_usd__n,induced_cost_upper_usd__delta,induced_cost_upper_usd__delta_ci,induced_cost_upper_usd__ratio,induced_cost_upper_usd__n,context_growth_tokens__delta,context_growth_tokens__delta_ci,context_growth_tokens__ratio,context_growth_tokens__n,tool_wall_s__delta,tool_wall_s__delta_ci,tool_wall_s__ratio,tool_wall_s__n,wall_s__delta,wall_s__delta_ci,wall_s__ratio,wall_s__n,estimated_no_cache_cost_usd__delta,estimated_no_cache_cost_usd__delta_ci,estimated_no_cache_cost_usd__ratio,estimated_no_cache_cost_usd__n,reported_cost_usd__delta,reported_cost_usd__delta_ci,reported_cost_usd__ratio,reported_cost_usd__n,cat_test_execution__delta,cat_test_execution__delta_ci,cat_test_execution__ratio,cat_test_execution__n,cat_file_read__delta,cat_file_read__delta_ci,cat_file_read__ratio,cat_file_read__n,cat_file_search__delta,cat_file_search__delta_ci,cat_file_search__ratio,cat_file_search__n,cat_navigation__delta,cat_navigation__delta_ci,cat_navigation__ratio,cat_navigation__n,cat_code_edit__delta,cat_code_edit__delta_ci,cat_code_edit__ratio,cat_code_edit__n,tool_calls__perm_p,post_green_repeat_tests__perm_p,duplicate_commands__perm_p,abandoned_exploration_calls__perm_p,post_success_calls__perm_p,est_tool_result_tokens__perm_p,estimated_no_cache_cost_usd__perm_p
claude-code,deepseek-ai/DeepSeek-V4-Pro,no_questions_autonomy,screening_cc,14,2.75,"[-6.000,21.500]",1.204,14,1.5,"[-5.000,20.750]",1.208,14,1.25,"[-4.750,20.500]",1.217,14,0.5,"[-1.250,17.250]",1.556,14,0.0,"[0.000,0.000]",0.1,14,0.0,"[0.000,0.000]",,14,0.0,"[0.000,0.000]",,14,0.0,"[0.000,0.750]",1.0,14,-3.5,"[-840.500,1577.000]",1.007,14,-0.75,"[-210.500,394.000]",1.008,14,0.0008,"[-0.002,0.009]",1.188,14,0.0064,"[-0.016,0.069]",1.218,14,-502.5,"[-9041.500,2419.500]",0.81,14,0.0525,"[-0.095,0.295]",1.283,14,7.555,"[-23.755,95.620]",1.127,14,0.0905,"[-0.232,0.794]",1.19,14,-0.0025,"[-0.033,0.113]",0.982,14,0.25,"[-3.250,18.000]",1.167,14,0.25,"[-2.000,1.000]",1.056,14,0.0,"[-0.500,0.250]",0.5,14,0.0,"[0.000,1.000]",1.0,14,0.0,"[-1.000,1.000]",1.0,14,0.3763,1.0,0.1248,1.0,1.0,1.0,0.3763
claude-code,moonshotai/Kimi-K2.6,bounded_efficiency,holdout_cc,8,-2.0,"[-7.000,17.000]",0.824,8,-3.0,"[-6.000,16.000]",0.692,8,-2.5,"[-6.000,16.000]",0.667,8,-3.5,"[-7.000,13.000]",0.55,8,0.0,"[0.000,0.000]",,8,0.0,"[0.000,0.000]",,8,0.0,"[0.000,0.000]",,8,0.0,"[-0.500,0.000]",1.0,8,88.5,"[-93.000,1078.000]",1.023,8,22.5,"[-24.000,269.000]",1.024,8,-0.0001,"[-0.003,0.005]",0.906,8,-0.0006,"[-0.016,0.028]",0.879,8,-127.0,"[-524.000,1301.000]",0.883,8,0.025,"[-0.100,0.400]",1.094,8,3.31,"[-44.120,68.950]",1.005,8,-0.0496,"[-0.197,0.373]",0.799,8,-0.0095,"[-0.074,0.087]",0.832,8,-3.5,"[-6.000,14.000]",0.654,8,0.0,"[-1.000,1.000]",1.0,8,0.0,"[0.000,1.000]",,8,0.0,"[0.000,1.000]",1.0,8,0.0,"[0.000,0.000]",1.0,8,1.0,1.0,1.0,1.0,1.0,1.0,1.0
claude-code,moonshotai/Kimi-K2.6,bounded_efficiency,screening_cc,16,-2.25,"[-8.250,2.750]",0.778,16,-1.75,"[-6.750,2.750]",0.441,16,-1.75,"[-6.750,2.750]",0.358,16,-2.0,"[-7.000,1.500]",0.048,16,0.0,"[-0.500,0.000]",0.0,16,0.0,"[0.000,0.000]",,16,0.0,"[0.000,0.000]",,16,0.0,"[0.000,0.500]",2.0,16,-105.5,"[-450.500,99.000]",0.861,16,-26.5,"[-113.000,25.000]",0.86,16,-0.0007,"[-0.002,0.000]",0.599,16,-0.0037,"[-0.009,0.002]",0.556,16,-174.5,"[-574.500,174.000]",0.787,16,-0.015,"[-0.103,0.057]",0.847,16,-6.69,"[-20.480,6.203]",0.654,16,-0.0382,"[-0.185,0.057]",0.788,16,-0.009,"[-0.041,0.011]",0.79,16,-1.75,"[-6.500,2.500]",0.453,16,-0.5,"[-1.000,0.000]",0.857,16,0.0,"[0.000,0.000]",0.667,16,0.0,"[-0.500,0.500]",1.5,16,0.0,"[-0.500,0.500]",1.0,16,0.2477,1.0,0.2477,1.0,1.0,0.3172,0.3109
claude-code,moonshotai/Kimi-K2.6,deep_thinking,holdout_cc,8,1.5,"[-7.000,11.000]",1.214,8,1.0,"[-8.000,8.000]",1.333,8,1.0,"[-8.000,8.500]",1.5,8,0.0,"[-8.000,5.000]",1.0,8,0.0,"[0.000,1.000]",,8,0.0,"[0.000,0.000]",,8,0.0,"[0.000,0.000]",,8,0.0,"[0.000,0.000]",1.0,8,-48.0,"[-160.000,455.000]",0.973,8,-12.5,"[-40.000,114.000]",0.972,8,0.0004,"[-0.002,0.002]",1.276,8,0.0023,"[-0.014,0.012]",1.344,8,206.5,"[-314.000,811.500]",1.242,8,0.01,"[-0.070,0.160]",1.059,8,20.905,"[6.930,25.165]",1.791,8,0.0555,"[-0.168,0.220]",1.37,8,0.0232,"[-0.060,0.045]",1.553,8,0.5,"[-8.000,6.500]",1.167,8,0.5,"[0.000,1.000]",1.125,8,0.0,"[0.000,1.000]",,8,1.0,"[0.000,1.000]",2.0,8,0.0,"[0.000,0.000]",1.0,8,1.0,1.0,1.0,1.0,1.0,1.0,1.0
claude-code,moonshotai/Kimi-K2.6,deep_thinking,screening_cc,16,-2.25,"[-6.000,1.750]",0.798,16,-1.5,"[-6.500,1.500]",0.692,16,-1.75,"[-6.750,1.500]",0.655,16,-2.0,"[-5.750,2.500]",0.524,16,0.0,"[-0.500,0.000]",0.0,16,0.0,"[0.000,0.000]",,16,0.0,"[0.000,0.000]",,16,0.0,"[0.000,0.500]",1.5,16,5.0,"[-372.500,260.000]",1.009,16,1.5,"[-93.000,65.000]",1.011,16,-0.0006,"[-0.002,0.000]",0.718,16,-0.0034,"[-0.010,0.001]",0.675,16,-26.5,"[-288.500,146.000]",0.939,16,-0.015,"[-0.087,0.070]",0.951,16,-0.265,"[-8.740,3.620]",0.988,16,-0.0358,"[-0.138,0.050]",0.842,16,-0.0011,"[-0.027,0.010]",0.937,16,-1.5,"[-5.750,1.750]",0.718,16,0.0,"[-0.750,1.000]",1.0,16,0.0,"[-0.500,0.000]",0.0,16,0.0,"[-0.500,0.000]",1.0,16,0.0,"[-0.500,0.000]",1.0,16,0.7662,1.0,0.7255,1.0,1.0,0.6057,1.0
claude-code,moonshotai/Kimi-K2.6,exhaustive_exploration,holdout_cc,9,0.0,"[-9.000,12.000]",1.0,9,-1.0,"[-8.000,9.000]",0.714,9,-1.0,"[-8.000,9.000]",0.833,9,-2.0,"[-7.000,4.000]",0.4,9,0.0,"[0.000,0.000]",,9,0.0,"[0.000,0.000]",,9,0.0,"[0.000,0.000]",,9,0.0,"[0.000,1.000]",1.5,9,1017.0,"[-335.000,2040.000]",1.656,9,254.0,"[-84.000,510.000]",1.655,9,0.0023,"[-0.003,0.004]",3.678,9,0.0109,"[-0.017,0.021]",3.711,9,624.0,"[-439.000,1063.000]",1.894,9,0.05,"[-0.070,0.260]",1.25,9,0.08,"[-42.100,52.070]",1.005,9,-0.0067,"[-0.161,0.242]",0.955,9,0.0026,"[-0.069,0.053]",1.062,9,-1.0,"[-8.000,5.000]",0.667,9,0.0,"[-1.000,3.000]",1.0,9,1.0,"[0.000,1.000]",,9,0.0,"[-1.000,0.000]",0.0,9,0.0,"[0.000,0.000]",1.0,9,1.0,1.0,1.0,1.0,1.0,0.5016,1.0
claude-code,moonshotai/Kimi-K2.6,exhaustive_exploration,pilot_b,1,49.0,"[49.000,49.000]",2.289,1,26.0,"[26.000,26.000]",1.929,1,26.0,"[26.000,26.000]",1.963,1,-1.0,"[-1.000,-1.000]",0.947,1,2.0,"[2.000,2.000]",2.0,1,0.0,"[0.000,0.000]",,1,0.0,"[0.000,0.000]",,1,2.0,"[2.000,2.000]",2.0,1,11943.0,"[11943.000,11943.000]",4.823,1,2986.0,"[2986.000,2986.000]",4.823,1,0.0674,"[0.067,0.067]",6.546,1,0.3867,"[0.387,0.387]",6.664,1,386122.0,"[386122.000,386122.000]",112.66,1,86.79,"[86.790,86.790]",155.982,1,162.13,"[162.130,162.130]",3.012,1,0.8886,"[0.889,0.889]",2.076,1,0.2896,"[0.290,0.290]",2.53,1,9.0,"[9.000,9.000]",1.5,1,6.0,"[6.000,6.000]",2.2,1,1.0,"[1.000,1.000]",,1,10.0,"[10.000,10.000]",4.333,1,2.0,"[2.000,2.000]",3.0,1,,,,,,,
claude-code,moonshotai/Kimi-K2.6,exhaustive_exploration,screening_cc,15,6.0,"[-2.500,19.000]",1.75,15,2.5,"[-5.000,13.500]",1.186,15,2.0,"[-5.250,13.500]",1.167,15,3.0,"[-5.250,11.000]",1.245,15,0.0,"[-0.500,0.500]",0.0,15,0.0,"[0.000,0.000]",,15,0.0,"[0.000,0.000]",,15,1.0,"[0.000,1.500]",2.0,15,2474.0,"[1046.000,3059.000]",2.62,15,618.0,"[261.500,765.000]",2.622,15,0.0072,"[0.001,0.011]",4.465,15,0.0389,"[0.003,0.063]",4.947,15,1293.0,"[282.000,1731.500]",2.186,15,0.135,"[0.000,0.310]",1.75,15,4.79,"[-17.375,47.270]",1.718,15,0.0794,"[-0.087,0.415]",1.425,15,0.0186,"[-0.019,0.093]",1.938,15,2.5,"[-4.000,12.000]",1.452,15,2.0,"[0.500,3.000]",2.0,15,0.0,"[0.000,1.000]",1.333,15,0.0,"[-0.500,0.500]",1.0,15,0.0,"[-0.500,0.500]",1.0,15,0.2494,1.0,0.2499,0.0635,1.0,0.0627,0.215
claude-code,moonshotai/Kimi-K2.6,goal_only,pilot_b,1,-28.0,"[-28.000,-28.000]",0.263,1,-23.0,"[-23.000,-23.000]",0.179,1,-22.0,"[-22.000,-22.000]",0.185,1,-18.0,"[-18.000,-18.000]",0.053,1,0.0,"[0.000,0.000]",1.0,1,0.0,"[0.000,0.000]",,1,0.0,"[0.000,0.000]",,1,-2.0,"[-2.000,-2.000]",0.0,1,-1338.0,"[-1338.000,-1338.000]",0.572,1,-335.0,"[-335.000,-335.000]",0.571,1,-0.0097,"[-0.010,-0.010]",0.205,1,-0.056,"[-0.056,-0.056]",0.18,1,-2073.0,"[-2073.000,-2073.000]",0.401,1,-0.44,"[-0.440,-0.440]",0.214,1,-59.61,"[-59.610,-59.610]",0.26,1,-0.5968,"[-0.597,-0.597]",0.277,1,-0.1349,"[-0.135,-0.135]",0.287,1,-15.0,"[-15.000,-15.000]",0.167,1,0.0,"[0.000,0.000]",1.0,1,0.0,"[0.000,0.000]",,1,-3.0,"[-3.000,-3.000]",0.0,1,1.0,"[1.000,1.000]",2.0,1,,,,,,,
claude-code,moonshotai/Kimi-K2.6,multiple_approaches,holdout_cc,8,18.0,"[5.000,53.000]",3.079,8,14.5,"[3.000,35.000]",3.703,8,15.0,"[4.000,35.000]",4.042,8,2.5,"[-3.000,16.000]",2.25,8,0.0,"[0.000,2.000]",,8,0.0,"[0.000,0.000]",,8,0.0,"[0.000,0.000]",,8,0.0,"[0.000,0.500]",1.0,8,1592.5,"[1020.000,3074.000]",2.082,8,398.5,"[255.000,768.000]",2.081,8,0.0059,"[0.002,0.035]",5.313,8,0.0331,"[0.011,0.203]",5.833,8,2363.5,"[1523.000,3517.000]",3.37,8,0.265,"[0.150,0.345]",2.286,8,64.615,"[61.690,178.500]",3.566,8,0.4092,"[0.135,1.261]",3.319,8,0.1006,"[0.050,0.249]",3.139,8,9.0,"[3.000,19.000]",2.205,8,1.5,"[1.000,2.000]",1.5,8,0.0,"[0.000,1.000]",,8,0.5,"[0.000,1.000]",2.0,8,0.0,"[0.000,1.000]",1.0,8,0.4985,1.0,1.0,1.0,1.0,0.4985,0.4985
claude-code,moonshotai/Kimi-K2.6,no_questions_autonomy,pilot_b,1,6.0,"[6.000,6.000]",1.158,1,3.0,"[3.000,3.000]",1.107,1,4.0,"[4.000,4.000]",1.148,1,3.0,"[3.000,3.000]",1.158,1,0.0,"[0.000,0.000]",1.0,1,0.0,"[0.000,0.000]",,1,0.0,"[0.000,0.000]",,1,1.0,"[1.000,1.000]",1.5,1,982.0,"[982.000,982.000]",1.314,1,245.0,"[245.000,245.000]",1.314,1,0.0046,"[0.005,0.005]",1.377,1,0.0261,"[0.026,0.026]",1.382,1,593.0,"[593.000,593.000]",1.171,1,0.09,"[0.090,0.090]",1.161,1,16.09,"[16.090,16.090]",1.2,1,0.0721,"[0.072,0.072]",1.087,1,0.014,"[0.014,0.014]",1.074,1,7.0,"[7.000,7.000]",1.389,1,2.0,"[2.000,2.000]",1.4,1,0.0,"[0.000,0.000]",,1,-1.0,"[-1.000,-1.000]",0.667,1,2.0,"[2.000,2.000]",3.0,1,,,,,,,
claude-code,moonshotai/Kimi-K2.6,no_questions_autonomy,screening_cc,15,7.0,"[-9.000,16.000]",1.692,15,5.0,"[-8.500,15.000]",2.15,15,5.0,"[-8.000,15.000]",2.428,15,4.0,"[-6.500,15.000]",1.143,15,0.0,"[-0.500,0.500]",0.0,15,0.0,"[0.000,0.000]",,15,0.0,"[0.000,0.000]",,15,0.5,"[0.000,1.250]",2.0,15,619.5,"[25.000,730.000]",1.444,15,155.0,"[7.000,183.000]",1.443,15,0.0019,"[-0.001,0.002]",1.804,15,0.0104,"[-0.009,0.014]",1.896,15,551.0,"[-520.000,945.000]",1.551,15,0.08,"[-0.075,0.167]",1.5,15,14.26,"[-11.000,21.030]",1.701,15,0.1288,"[-0.225,0.334]",1.651,15,0.0344,"[-0.055,0.066]",1.602,15,5.0,"[-7.000,15.500]",1.778,15,1.0,"[0.000,1.500]",1.429,15,0.0,"[0.000,0.000]",0.667,15,0.5,"[-0.500,0.750]",1.333,15,0.0,"[-0.500,0.000]",0.833,15,0.3189,1.0,0.5334,0.1256,1.0,0.2459,0.468
claude-code,moonshotai/Kimi-K2.6,scoped_authorization,pilot_b,2,5.5,"[5.500,5.500]",1.145,2,1.0,"[1.000,1.000]",1.036,2,1.5,"[1.500,1.500]",1.056,2,0.0,"[0.000,0.000]",1.0,2,0.0,"[0.000,0.000]",1.0,2,0.0,"[0.000,0.000]",,2,0.0,"[0.000,0.000]",,2,1.5,"[1.500,1.500]",1.75,2,1240.0,"[1240.000,1240.000]",1.397,2,310.0,"[310.000,310.000]",1.397,2,0.0044,"[0.004,0.004]",1.361,2,0.0245,"[0.024,0.024]",1.358,2,407.0,"[407.000,407.000]",1.118,2,0.06,"[0.060,0.060]",1.107,2,70.34,"[70.340,70.340]",1.873,2,0.1457,"[0.146,0.146]",1.176,2,0.0895,"[0.089,0.089]",1.473,2,5.5,"[5.500,5.500]",1.306,2,2.0,"[2.000,2.000]",1.4,2,0.5,"[0.500,0.500]",,2,1.5,"[1.500,1.500]",1.5,2,1.0,"[1.000,1.000]",2.0,2,,,,,,,
claude-code,moonshotai/Kimi-K2.7-Code,bounded_efficiency,holdout_cc,9,-1.0,"[-6.000,0.000]",0.8,9,-2.0,"[-5.000,-2.000]",0.375,9,-2.0,"[-5.000,-2.000]",0.286,9,-2.0,"[-2.000,-2.000]",0.333,9,0.0,"[0.000,0.000]",,9,0.0,"[0.000,0.000]",,9,0.0,"[0.000,0.000]",,9,0.0,"[0.000,0.000]",1.0,9,160.0,"[-399.000,725.000]",1.111,9,40.0,"[-100.000,181.000]",1.111,9,0.0001,"[-0.002,0.000]",1.07,9,0.0004,"[-0.009,0.000]",1.113,9,-53.0,"[-434.000,220.000]",0.885,9,-0.02,"[-0.070,0.060]",0.759,9,-7.06,"[-21.410,-0.970]",0.701,9,-0.0446,"[-0.096,-0.029]",0.647,9,-0.0259,"[-0.031,-0.021]",0.454,9,-2.0,"[-4.000,-2.000]",0.429,9,0.0,"[0.000,0.000]",1.0,9,0.0,"[0.000,0.000]",1.0,9,0.0,"[-1.000,1.000]",0.0,9,0.0,"[0.000,0.000]",1.0,9,0.5016,1.0,1.0,1.0,1.0,1.0,0.5016
claude-code,moonshotai/Kimi-K2.7-Code,bounded_efficiency,pilot_b,4,2.25,"[1.000,7.500]",1.354,4,2.5,"[1.000,7.000]",2.19,4,2.0,"[0.500,6.500]",2.333,4,2.0,"[1.000,6.500]",4.0,4,0.0,"[0.000,0.500]",,4,0.0,"[0.000,0.000]",,4,0.0,"[0.000,0.000]",,4,0.5,"[0.500,0.500]",1.5,4,70.0,"[70.000,350.500]",1.108,4,17.5,"[17.500,87.500]",1.108,4,0.0004,"[0.000,0.002]",1.491,4,0.002,"[0.000,0.011]",1.666,4,-16.5,"[-77.000,-16.500]",0.97,4,0.0375,"[0.035,0.080]",1.368,4,10.5925,"[-1.930,34.930]",1.58,4,0.0507,"[0.007,0.146]",1.424,4,0.0183,"[0.001,0.051]",1.532,4,2.5,"[1.000,7.000]",2.19,4,0.5,"[0.000,0.500]",1.2,4,0.0,"[0.000,0.500]",,4,-0.25,"[-0.500,0.000]",0.5,4,0.0,"[0.000,0.000]",1.0,4,,,,,,,
claude-code,moonshotai/Kimi-K2.7-Code,bounded_efficiency,screening_cc,12,1.0,"[0.250,6.500]",1.187,12,1.0,"[0.000,6.000]",1.5,12,1.0,"[0.500,6.000]",2.0,12,1.25,"[0.500,5.500]",2.75,12,0.0,"[-0.250,0.000]",0.0,12,0.0,"[0.000,0.000]",,12,0.0,"[0.000,0.000]",,12,0.0,"[0.000,0.250]",1.0,12,41.75,"[-500.250,281.000]",1.049,12,10.25,"[-125.000,70.000]",1.048,12,0.0002,"[-0.000,0.001]",1.363,12,0.001,"[-0.001,0.005]",1.483,12,135.75,"[-184.000,425.000]",1.217,12,-0.005,"[-0.070,0.125]",0.971,12,-0.4375,"[-3.725,8.175]",0.971,12,0.0106,"[-0.001,0.104]",1.125,12,0.0011,"[-0.000,0.023]",1.042,12,1.0,"[0.500,6.000]",1.417,12,0.0,"[0.000,0.500]",1.0,12,0.0,"[0.000,0.000]",1.0,12,0.0,"[-0.250,0.500]",1.333,12,0.0,"[-0.500,0.000]",1.0,12,0.1247,1.0,0.1247,1.0,1.0,0.4415,0.1247
claude-code,moonshotai/Kimi-K2.7-Code,deep_thinking,holdout_cc,9,-1.0,"[-2.000,0.000]",0.889,9,-1.0,"[-2.000,-1.000]",0.667,9,-1.0,"[-2.000,-1.000]",0.5,9,-2.0,"[-2.000,2.000]",0.333,9,0.0,"[0.000,0.000]",,9,0.0,"[0.000,0.000]",,9,0.0,"[0.000,0.000]",,9,0.0,"[0.000,0.000]",1.0,9,190.0,"[-221.000,238.000]",1.381,9,47.0,"[-55.000,59.000]",1.376,9,0.0001,"[-0.000,0.000]",1.285,9,0.0001,"[-0.002,0.001]",1.126,9,-11.0,"[-129.000,56.000]",0.994,9,-0.03,"[-0.050,-0.020]",0.821,9,-2.98,"[-4.970,-2.690]",0.703,9,-0.0176,"[-0.024,0.001]",0.896,9,-0.0154,"[-0.023,-0.009]",0.591,9,-2.0,"[-2.000,0.000]",0.6,9,0.0,"[0.000,0.000]",1.0,9,0.0,"[0.000,0.000]",1.0,9,0.0,"[0.000,0.000]",1.0,9,0.0,"[0.000,0.000]",1.0,9,0.5016,1.0,1.0,1.0,1.0,1.0,0.5016
claude-code,moonshotai/Kimi-K2.7-Code,deep_thinking,pilot_b,5,2.0,"[2.000,4.000]",1.25,4,2.5,"[2.500,3.500]",1.714,4,2.0,"[2.000,3.500]",1.667,4,1.5,"[1.500,3.000]",2.0,4,0.0,"[0.000,0.000]",,4,0.0,"[0.000,0.000]",,4,0.0,"[0.000,0.000]",,4,0.0,"[0.000,0.500]",1.0,4,-177.75,"[-301.500,268.000]",0.843,4,-44.5,"[-75.500,67.000]",0.843,4,0.0003,"[0.000,0.000]",1.244,4,0.0019,"[0.002,0.002]",1.399,4,212.0,"[-74.000,212.000]",1.034,4,-0.0075,"[-0.010,0.080]",0.947,4,2.2825,"[1.540,29.900]",1.249,4,0.0737,"[0.063,0.074]",1.551,4,0.0222,"[0.014,0.043]",1.874,4,2.5,"[2.500,3.000]",1.714,4,-0.5,"[-0.500,0.500]",0.8,4,0.0,"[0.000,0.000]",,4,0.0,"[0.000,0.000]",1.0,4,0.0,"[0.000,0.000]",1.0,4,,,,,,,
claude-code,moonshotai/Kimi-K2.7-Code,deep_thinking,screening_cc,11,1.5,"[-0.500,3.000]",1.231,11,1.0,"[0.000,1.000]",1.333,11,1.0,"[0.000,1.000]",1.5,11,0.0,"[-0.500,0.000]",1.0,11,0.0,"[-0.500,0.000]",0.0,11,0.0,"[0.000,0.000]",,11,0.0,"[0.000,0.000]",,11,0.0,"[0.000,0.500]",1.0,11,95.5,"[-101.000,413.000]",1.092,11,24.0,"[-25.000,104.000]",1.093,11,0.0003,"[-0.000,0.000]",1.478,11,0.0013,"[-0.001,0.002]",1.578,11,243.5,"[115.000,462.000]",1.358,11,-0.03,"[-0.070,0.015]",0.833,11,2.38,"[-1.165,5.717]",1.308,11,0.016,"[-0.013,0.018]",1.164,11,0.003,"[-0.001,0.005]",1.117,11,0.0,"[-0.250,0.500]",1.0,11,0.5,"[0.000,1.000]",1.333,11,0.0,"[-0.500,0.000]",0.0,11,0.0,"[-0.500,1.000]",0.0,11,0.0,"[-1.000,0.000]",1.0,11,0.1209,1.0,0.2488,1.0,1.0,0.3742,0.1845
claude-code,moonshotai/Kimi-K2.7-Code,exhaustive_exploration,pilot_b,5,6.75,"[6.000,8.500]",1.965,4,5.0,"[4.500,5.000]",2.429,4,5.0,"[4.000,5.000]",2.667,4,4.0,"[3.500,4.000]",3.667,4,0.0,"[0.000,0.500]",,4,0.0,"[0.000,0.000]",,4,0.0,"[0.000,0.000]",,4,2.0,"[1.500,2.000]",2.5,4,622.25,"[267.500,677.000]",1.548,4,155.5,"[66.500,169.500]",1.549,4,0.0011,"[0.001,0.001]",2.417,4,0.005,"[0.005,0.007]",2.754,4,217.25,"[-244.500,589.000]",1.254,4,0.0675,"[0.050,0.140]",1.474,4,1.9825,"[0.645,4.740]",1.248,4,0.0863,"[0.081,0.087]",1.649,4,0.0208,"[0.018,0.024]",1.662,4,4.0,"[3.500,4.000]",2.143,4,2.0,"[1.000,2.500]",2.133,4,0.5,"[0.500,0.500]",,4,-0.25,"[-0.500,0.500]",0.5,4,0.0,"[0.000,0.000]",1.0,4,,,,,,,
claude-code,moonshotai/Kimi-K2.7-Code,exhaustive_exploration,screening_cc,11,3.5,"[1.500,5.500]",1.538,11,2.0,"[0.000,4.000]",1.667,11,2.0,"[0.000,4.000]",2.0,11,1.5,"[1.000,3.000]",4.0,11,0.0,"[0.000,0.500]",2.0,11,0.0,"[0.000,0.000]",,11,0.0,"[0.000,0.000]",,11,1.0,"[0.000,1.000]",1.0,11,428.0,"[312.000,600.000]",1.372,11,107.0,"[78.000,150.500]",1.373,11,0.0005,"[0.000,0.001]",1.881,11,0.0021,"[0.002,0.004]",2.085,11,380.5,"[37.000,526.000]",1.488,11,0.075,"[-0.030,0.125]",1.714,11,1.54,"[-2.330,6.060]",1.151,11,0.0401,"[0.015,0.067]",1.466,11,0.009,"[0.002,0.016]",1.408,11,1.0,"[0.500,4.000]",1.5,11,2.0,"[0.500,2.000]",1.667,11,0.5,"[0.500,1.000]",2.0,11,0.0,"[0.000,0.000]",0.0,11,0.0,"[-0.500,0.000]",1.0,11,0.1866,1.0,0.129,0.1215,1.0,0.1215,0.1255
claude-code,moonshotai/Kimi-K2.7-Code,goal_only,pilot_b,5,-1.75,"[-2.500,0.500]",0.66,4,-1.0,"[-1.500,1.000]",0.429,4,-1.0,"[-1.000,0.500]",0.333,4,-0.5,"[-0.500,0.000]",0.333,4,0.0,"[0.000,0.000]",,4,0.0,"[0.000,0.000]",,4,0.0,"[0.000,0.000]",,4,0.0,"[0.000,0.500]",1.5,4,-78.25,"[-218.500,112.500]",0.847,4,-19.5,"[-54.500,28.000]",0.847,4,0.0,"[-0.000,0.000]",0.893,4,0.0001,"[-0.000,0.001]",0.905,4,-284.5,"[-430.500,-284.500]",0.567,4,-0.0325,"[-0.055,0.015]",0.711,4,-3.0825,"[-3.870,4.500]",0.746,4,-0.0044,"[-0.032,0.030]",0.915,4,0.0019,"[-0.008,0.014]",1.002,4,-1.5,"[-1.500,-1.000]",0.286,4,-0.5,"[-0.500,0.000]",0.733,4,0.0,"[0.000,0.500]",,4,-0.5,"[-0.500,-0.500]",0.0,4,0.0,"[0.000,0.000]",1.0,4,,,,,,,
claude-code,moonshotai/Kimi-K2.7-Code,multiple_approaches,holdout_cc,9,8.0,"[3.000,13.000]",1.6,9,1.0,"[1.000,8.000]",1.333,9,1.0,"[1.000,9.000]",1.5,9,1.0,"[0.000,7.000]",1.333,9,0.0,"[0.000,0.000]",,9,0.0,"[0.000,0.000]",,9,0.0,"[0.000,0.000]",,9,0.0,"[0.000,0.000]",1.0,9,538.0,"[-77.000,884.000]",2.076,9,134.0,"[-19.000,221.000]",2.072,9,0.0012,"[0.001,0.002]",2.874,9,0.0053,"[0.003,0.008]",2.84,9,717.0,"[15.000,1800.000]",2.432,9,0.08,"[-0.020,0.330]",2.0,9,17.16,"[4.980,56.360]",1.746,9,0.0789,"[0.036,0.217]",1.397,9,0.0154,"[-0.006,0.058]",1.243,9,1.0,"[0.000,8.000]",1.333,9,1.0,"[0.000,1.000]",1.333,9,0.0,"[0.000,1.000]",1.0,9,1.0,"[0.000,1.000]",1.0,9,0.0,"[0.000,0.000]",1.0,9,0.5016,1.0,0.5016,1.0,1.0,0.4985,0.5016
