harness,model,variant,experiment,n_runs,tool_calls__delta,tool_calls__delta_ci,tool_calls__ratio,tool_calls__n,failed_calls__delta,failed_calls__delta_ci,failed_calls__ratio,failed_calls__n,error_recovery_calls__delta,error_recovery_calls__delta_ci,error_recovery_calls__ratio,error_recovery_calls__n,duplicate_commands__delta,duplicate_commands__delta_ci,duplicate_commands__ratio,duplicate_commands__n,repeated_reads__delta,repeated_reads__delta_ci,repeated_reads__ratio,repeated_reads__n,post_green_repeat_tests__delta,post_green_repeat_tests__delta_ci,post_green_repeat_tests__ratio,post_green_repeat_tests__n,post_success_calls__delta,post_success_calls__delta_ci,post_success_calls__ratio,post_success_calls__n,abandoned_exploration_calls__delta,abandoned_exploration_calls__delta_ci,abandoned_exploration_calls__ratio,abandoned_exploration_calls__n,tool_result_chars__delta,tool_result_chars__delta_ci,tool_result_chars__ratio,tool_result_chars__n,est_tool_result_tokens__delta,est_tool_result_tokens__delta_ci,est_tool_result_tokens__ratio,est_tool_result_tokens__n,induced_cost_lower_usd__delta,induced_cost_lower_usd__delta_ci,induced_cost_lower_usd__ratio,induced_cost_lower_usd__n,induced_cost_upper_usd__delta,induced_cost_upper_usd__delta_ci,induced_cost_upper_usd__ratio,induced_cost_upper_usd__n,context_growth_tokens__delta,context_growth_tokens__delta_ci,context_growth_tokens__ratio,context_growth_tokens__n,tool_wall_s__delta,tool_wall_s__delta_ci,tool_wall_s__ratio,tool_wall_s__n,wall_s__delta,wall_s__delta_ci,wall_s__ratio,wall_s__n,estimated_no_cache_cost_usd__delta,estimated_no_cache_cost_usd__delta_ci,estimated_no_cache_cost_usd__ratio,estimated_no_cache_cost_usd__n,reported_cost_usd__delta,reported_cost_usd__delta_ci,reported_cost_usd__ratio,reported_cost_usd__n,cat_test_execution__delta,cat_test_execution__delta_ci,cat_test_execution__ratio,cat_test_execution__n,cat_file_read__delta,cat_file_read__delta_ci,cat_file_read__ratio,cat_file_read__n,cat_file_search__delta,cat_file_search__delta_ci,cat_file_search__ratio,cat_file_search__n,cat_navigation__delta,cat_navigation__delta_ci,cat_navigation__ratio,cat_navigation__n,cat_code_edit__delta,cat_code_edit__delta_ci,cat_code_edit__ratio,cat_code_edit__n,tool_calls__perm_p,post_green_repeat_tests__perm_p,duplicate_commands__perm_p,abandoned_exploration_calls__perm_p,post_success_calls__perm_p,est_tool_result_tokens__perm_p,estimated_no_cache_cost_usd__perm_p
claude-code,deepseek-ai/DeepSeek-V4-Pro,bounded_efficiency,screening_cc,15,-2.0,"[-7.500,1.000]",0.846,15,-2.0,"[-5.000,2.000]",0.75,15,-2.0,"[-5.250,2.000]",0.714,15,-0.5,"[-4.500,0.750]",0.118,15,0.0,"[0.000,0.000]",0.0,15,0.0,"[0.000,0.000]",,15,0.0,"[0.000,0.000]",,15,0.0,"[0.000,0.500]",1.0,15,-264.0,"[-467.000,346.000]",0.809,15,-66.0,"[-117.000,86.000]",0.809,15,-0.0009,"[-0.001,0.000]",0.708,15,-0.0065,"[-0.011,0.003]",0.688,15,-366.0,"[-8475.000,166.000]",0.815,15,-0.035,"[-0.100,0.010]",0.829,15,-13.07,"[-34.400,6.800]",0.714,15,-0.0912,"[-0.245,0.036]",0.803,15,-0.0021,"[-0.048,0.021]",0.976,15,0.0,"[-6.000,1.000]",1.0,15,0.0,"[-1.000,0.500]",1.0,15,-0.5,"[-0.500,0.000]",0.0,15,0.0,"[0.000,1.000]",1.0,15,0.0,"[-1.000,1.250]",1.0,15,0.2157,1.0,1.0,0.3704,1.0,0.7646,0.0619
claude-code,deepseek-ai/DeepSeek-V4-Pro,deep_thinking,holdout_cc,6,-3.0,"[-11.000,-3.000]",0.727,6,-2.5,"[-8.000,-2.000]",0.583,6,-2.5,"[-9.000,-2.000]",0.5,6,-0.5,"[-4.000,0.000]",0.2,6,0.0,"[0.000,0.000]",,6,0.0,"[0.000,0.000]",,6,0.0,"[0.000,0.000]",,6,0.0,"[0.000,0.000]",1.0,6,-290.5,"[-1363.000,-284.000]",0.779,6,-72.5,"[-341.000,-71.000]",0.779,6,-0.0006,"[-0.006,-0.001]",0.661,6,-0.0044,"[-0.045,-0.004]",0.616,6,-389.5,"[-1697.000,-353.000]",0.741,6,-0.08,"[-0.170,-0.050]",0.684,6,2.205,"[-14.370,5.970]",1.085,6,-0.1013,"[-0.404,-0.101]",0.725,6,-0.0189,"[-0.055,-0.013]",0.821,6,-1.0,"[-3.000,-1.000]",0.536,6,-1.0,"[-1.000,-1.000]",0.708,6,0.0,"[-1.000,0.000]",0.0,6,0.0,"[0.000,1.000]",1.0,6,-0.5,"[-1.000,0.000]",0.75,6,,,,,,,
claude-code,deepseek-ai/DeepSeek-V4-Pro,deep_thinking,pilot_b,2,8.0,"[8.000,8.000]",2.0,2,3.0,"[3.000,3.000]",1.6,2,3.0,"[3.000,3.000]",1.75,2,0.0,"[0.000,0.000]",1.0,2,0.0,"[0.000,0.000]",,2,0.0,"[0.000,0.000]",,2,0.0,"[0.000,0.000]",,2,1.0,"[1.000,1.000]",,2,1539.0,"[1539.000,1539.000]",3.03,2,384.5,"[384.500,384.500]",3.024,2,0.0035,"[0.004,0.004]",4.702,2,0.0254,"[0.025,0.025]",5.442,2,1605.5,"[1605.500,1605.500]",2.502,2,0.085,"[0.085,0.085]",1.531,2,42.025,"[42.025,42.025]",2.503,2,0.3084,"[0.308,0.308]",2.153,2,0.0315,"[0.031,0.031]",1.333,2,-1.0,"[-1.000,-1.000]",0.667,2,4.5,"[4.500,4.500]",5.5,2,1.0,"[1.000,1.000]",,2,-0.5,"[-0.500,-0.500]",0.5,2,4.0,"[4.000,4.000]",2.333,2,,,,,,,
claude-code,deepseek-ai/DeepSeek-V4-Pro,deep_thinking,screening_cc,14,-1.25,"[-5.000,2.750]",0.917,14,1.5,"[-3.500,2.500]",1.371,14,1.5,"[-3.500,2.500]",1.463,14,0.25,"[-3.250,1.500]",0.412,14,0.0,"[0.000,0.000]",0.0,14,0.0,"[0.000,0.000]",,14,0.0,"[0.000,0.000]",,14,0.0,"[0.000,0.500]",1.0,14,50.0,"[-716.000,422.000]",1.037,14,12.0,"[-179.500,105.750]",1.036,14,-0.0,"[-0.002,0.001]",1.048,14,-0.0004,"[-0.014,0.007]",1.093,14,-163.5,"[-7826.000,700.500]",0.919,14,-0.02,"[-0.050,0.008]",0.906,14,30.1575,"[-25.450,40.475]",1.587,14,-0.0116,"[-0.122,0.114]",1.0,14,-0.0061,"[-0.038,0.015]",0.948,14,1.25,"[-5.000,2.750]",1.381,14,-0.25,"[-1.500,1.000]",0.9,14,0.0,"[-0.500,0.000]",0.0,14,0.0,"[0.000,0.000]",1.0,14,-1.0,"[-1.500,0.000]",0.583,14,1.0,1.0,0.6805,1.0,1.0,0.6896,1.0
claude-code,deepseek-ai/DeepSeek-V4-Pro,exhaustive_exploration,pilot_b,2,8.0,"[8.000,8.000]",2.0,2,3.0,"[3.000,3.000]",1.6,2,3.0,"[3.000,3.000]",1.75,2,0.0,"[0.000,0.000]",1.0,2,0.0,"[0.000,0.000]",,2,0.0,"[0.000,0.000]",,2,0.0,"[0.000,0.000]",,2,2.0,"[2.000,2.000]",,2,3501.5,"[3501.500,3501.500]",5.619,2,875.0,"[875.000,875.000]",5.605,2,0.0086,"[0.009,0.009]",10.097,2,0.0633,"[0.063,0.063]",12.08,2,2257.0,"[2257.000,2257.000]",3.111,2,0.085,"[0.085,0.085]",1.531,2,57.17,"[57.170,57.170]",3.045,2,0.2413,"[0.241,0.241]",1.902,2,0.0209,"[0.021,0.021]",1.221,2,0.0,"[0.000,0.000]",1.0,2,5.0,"[5.000,5.000]",6.0,2,0.0,"[0.000,0.000]",,2,-1.0,"[-1.000,-1.000]",0.0,2,2.5,"[2.500,2.500]",1.833,2,,,,,,,
claude-code,deepseek-ai/DeepSeek-V4-Pro,exhaustive_exploration,screening_cc,14,-1.25,"[-4.000,4.000]",0.886,14,-0.5,"[-3.500,4.000]",0.875,14,-0.5,"[-3.500,4.000]",0.833,14,-0.5,"[-4.000,1.000]",0.288,14,0.0,"[0.000,0.000]",0.0,14,0.0,"[0.000,0.000]",,14,0.0,"[0.000,0.000]",,14,0.0,"[0.000,1.000]",1.0,14,1599.5,"[396.000,1811.000]",1.908,14,400.0,"[98.500,452.500]",1.909,14,0.002,"[-0.001,0.003]",1.999,14,0.0124,"[-0.009,0.027]",2.046,14,627.5,"[-7076.000,1092.000]",1.439,14,0.025,"[-0.095,0.070]",1.118,14,10.15,"[-12.125,32.030]",1.398,14,-0.0412,"[-0.101,0.141]",0.893,14,-0.0049,"[-0.011,0.010]",0.967,14,-0.25,"[-4.250,3.000]",0.929,14,0.25,"[-1.000,0.750]",1.056,14,-0.25,"[-0.500,0.000]",0.0,14,-1.0,"[-1.000,0.000]",0.0,14,0.0,"[-1.000,2.750]",1.0,14,1.0,1.0,1.0,1.0,1.0,0.3685,0.6835
claude-code,deepseek-ai/DeepSeek-V4-Pro,goal_only,pilot_b,2,1.5,"[1.500,1.500]",1.188,2,0.5,"[0.500,0.500]",1.1,2,1.0,"[1.000,1.000]",1.25,2,-1.0,"[-1.000,-1.000]",0.0,2,0.0,"[0.000,0.000]",,2,0.0,"[0.000,0.000]",,2,0.0,"[0.000,0.000]",,2,0.0,"[0.000,0.000]",,2,399.0,"[399.000,399.000]",1.526,2,99.5,"[99.500,99.500]",1.524,2,0.0007,"[0.001,0.001]",1.741,2,0.0048,"[0.005,0.005]",1.835,2,584.5,"[584.500,584.500]",1.547,2,-0.01,"[-0.010,-0.010]",0.938,2,18.95,"[18.950,18.950]",1.678,2,0.0879,"[0.088,0.088]",1.329,2,-0.0024,"[-0.002,-0.002]",0.975,2,-3.0,"[-3.000,-3.000]",0.0,2,1.5,"[1.500,1.500]",2.5,2,0.0,"[0.000,0.000]",,2,-1.0,"[-1.000,-1.000]",0.0,2,2.0,"[2.000,2.000]",1.667,2,,,,,,,
claude-code,deepseek-ai/DeepSeek-V4-Pro,max_certainty,holdout_cc,8,9.5,"[-2.000,27.000]",1.594,8,5.5,"[-1.000,20.000]",1.792,8,6.0,"[-2.000,21.000]",2.125,8,2.0,"[-1.000,11.000]",1.0,8,1.5,"[0.000,2.000]",,8,0.0,"[0.000,0.000]",,8,0.0,"[0.000,0.000]",,8,-0.5,"[-3.000,1.000]",0.5,8,1408.0,"[-913.000,2405.000]",1.529,8,352.0,"[-228.500,602.000]",1.529,8,0.007,"[-0.000,0.012]",1.876,8,0.0555,"[-0.003,0.096]",1.965,8,4430.0,"[-8199.000,5367.000]",2.404,8,0.165,"[-0.080,0.370]",1.65,8,70.82,"[10.295,109.550]",2.375,8,0.3034,"[-0.092,0.955]",1.585,8,0.0841,"[-0.001,0.142]",1.606,8,6.0,"[0.000,16.000]",3.214,8,1.5,"[-1.500,2.000]",1.321,8,0.0,"[0.000,1.500]",1.0,8,0.0,"[0.000,1.500]",2.0,8,0.0,"[-2.000,1.000]",1.0,8,0.4985,1.0,1.0,1.0,1.0,1.0,1.0
claude-code,deepseek-ai/DeepSeek-V4-Pro,multiple_approaches,holdout_cc,7,0.0,"[-5.000,5.000]",1.0,7,0.0,"[-5.000,1.000]",1.0,7,0.0,"[-5.000,1.000]",1.0,7,0.0,"[-4.000,1.000]",0.6,7,0.0,"[0.000,0.000]",,7,0.0,"[0.000,0.000]",,7,0.0,"[0.000,0.000]",,7,0.0,"[-3.000,0.000]",1.0,7,-171.0,"[-2769.000,77.000]",0.939,7,-43.0,"[-692.000,20.000]",0.939,7,-0.0001,"[-0.004,0.000]",0.941,7,-0.0003,"[-0.028,0.001]",0.975,7,130.0,"[-32163.000,378.000]",1.086,7,-0.04,"[-0.140,0.010]",0.826,7,52.31,"[8.010,70.660]",2.068,7,0.0095,"[-0.238,0.245]",1.026,7,0.0079,"[-0.051,0.060]",1.075,7,0.0,"[-3.000,3.000]",1.0,7,-1.0,"[-4.000,0.000]",0.75,7,0.0,"[0.000,1.000]",1.0,7,0.0,"[-1.000,0.000]",0.0,7,0.0,"[-2.000,0.000]",1.0,7,1.0,1.0,1.0,1.0,1.0,0.5016,1.0
claude-code,deepseek-ai/DeepSeek-V4-Pro,no_questions_autonomy,pilot_b,2,8.5,"[8.500,8.500]",2.062,2,6.5,"[6.500,6.500]",2.3,2,6.5,"[6.500,6.500]",2.625,2,2.0,"[2.000,2.000]",3.0,2,0.0,"[0.000,0.000]",,2,0.0,"[0.000,0.000]",,2,0.0,"[0.000,0.000]",,2,1.0,"[1.000,1.000]",,2,1003.0,"[1003.000,1003.000]",2.323,2,250.5,"[250.500,250.500]",2.318,2,0.0028,"[0.003,0.003]",3.909,2,0.0206,"[0.021,0.021]",4.611,2,1220.0,"[1220.000,1220.000]",2.141,2,0.13,"[0.130,0.130]",1.812,2,23.705,"[23.705,23.705]",1.848,2,0.2869,"[0.287,0.287]",2.072,2,0.0258,"[0.026,0.026]",1.273,2,3.5,"[3.500,3.500]",2.167,2,2.0,"[2.000,2.000]",3.0,2,0.5,"[0.500,0.500]",,2,-0.5,"[-0.500,-0.500]",0.5,2,0.0,"[0.000,0.000]",1.0,2,,,,,,,
